start	end	text
0	10480	Hello and welcome to In Control, the first podcast on control theory.
10480	21240	Here we discuss the science of feedback, decision making, artificial intelligence and much more.
21240	25040	I'm your host Alberto Padoan, live from our recording studio in Lausanne.
25040	29540	Again we're here in the beautiful French speaking side of Switzerland for a nice event which
29540	33980	brought together some of the most brilliant minds out there in control and machine learning.
33980	39900	Today our guest is Anu Anaswamy, Director of the Active and Adaptive Control Laboratory
39900	44340	and Senior Scientist at the Massachusetts Institute of Technology in the Department
44340	46180	of Mechanical Engineering.
46180	47340	Welcome to the show Anu.
47340	48340	It's my pleasure.
48340	49620	Thanks for having me.
49620	53360	Just before I forget, quick thanks to our sponsors as well to the National Center of
53360	58480	Competence in Research on Dependable Ubiquitous Automation as well as the International Federation
58480	60060	of Automatic Control.
60060	68340	Anu, just to break the ice, what do the first 60 minutes of your day look like?
68340	74340	Ah, well, emails I think.
74340	81260	There's always something very interesting and informative and surprises that sort of
81260	82860	set the day.
82860	89040	And you know, with everybody working around the clock on controls research, colleagues
89040	95280	in Europe have been up for, say for instance, six hours before me and they tell me what's
95280	100120	been going on and that sets the day and, you know, there are then discussions and meetings
100120	101120	and all that.
101120	105680	And so that's basically every 60 minutes of my day start with.
105680	110120	Are you the kind of person that likes, say, to do, I don't know, physical exercise or
110300	112820	meditation or anything like that?
112820	115980	Yeah, I do do them, but later in the day.
115980	121580	But I'd like to start, you know, have my cup of coffee and just jump into work.
121580	125940	And of course, these days, there's always Wordle that starts the day.
125940	126940	Who isn't doing that?
126940	127940	Right.
127940	129180	And then, of course, email.
129180	131220	And that's how my day begins.
131220	132220	Yes.
132220	133220	Yeah.
133220	138340	So maybe, you know, shifting towards the topic of today, which hopefully will be adaptive
138360	145240	control, which is an area of expertise of yours and also its history, I would like to
145240	149360	maybe ask you what has drawn you to control in the first place?
149360	155240	So I know that reading your biography, I saw that you have not just one, but two undergraduate
155240	156240	degrees.
156240	157240	Is that right?
157240	158240	That is correct.
158240	159240	Okay.
159240	164520	And so, yeah, I was curious, given that you have this broad span, what has drawn you to
164520	165520	control?
165520	166520	Okay.
166520	167520	Yeah, no, I'd be very happy to answer that.
167700	173060	So, as you mentioned, I have two undergraduate degrees, and the first one was in math.
173060	180580	And what I found towards the end of that education is that I wanted to really move towards a
180580	182700	more applied aspect of math.
182700	187260	So this was all fine, and I loved doing what I was doing there, but I wanted to know what
187260	188520	it was all for.
188520	191980	So that drew me to my second degree, which was in engineering.
191980	195340	And there was a very specific program where only graduates were admitted.
195360	200360	So it was sort of like a graduate program almost, except that it was more abridged than
200360	207160	the usual undergraduate degree in engineering in India, which is where I come from.
207160	209080	Was five years at that time.
209080	212800	And so this one was more abbreviated in three years, because you've taken all of your courses
212800	215280	already, and that was in electrical engineering.
215280	221400	And so, but even there, what I found was here were all these different courses that mentioned
221400	224320	as to how the universe worked, which was great.
224340	228780	And then was this controls course, which said, no, no, this is basically how you can modify
228780	229780	the universe.
229780	232700	And I thought, wow, that's really cool.
232700	236740	And I got into that more, and the rest is history, I guess.
236740	241900	So I've been working in that same area, I've never left school.
241900	246100	And I still feel that every day I have something to learn.
246100	250660	And then, you know, like I said earlier, what happens in the first 60 minutes, I can't wait
250680	256560	to see what the day brings in terms of new opportunities, new challenges and controls,
256560	259760	research and new solutions.
259760	261160	And yeah.
261160	267440	And but from India, and then you moved to the US to Boston.
267440	270680	So what has brought you on the other side, I would say?
270680	274280	So I applied to graduate school.
274280	279460	And so there were obviously lots of opportunities in the United States.
279460	285340	And it so happened that I met who would become my future advisor, Professor Narendra, who's
285340	287100	also originally from India.
287100	291820	And it so happened, serendipitously, that he was visiting his parents, who happened
291820	294940	to be in the same city that I was from.
294940	296820	And so, you know, I talked to him.
296820	300980	And again, I found even during the, what, 30 minutes of conversation that we might had
300980	303020	that I was learning so much.
303020	305920	And so it was very clear to me that that's where I'd like to go.
305920	310240	And so when Yale University offered me admission, I just took that.
310240	314260	And so, so before Boston, that's New Haven, Connecticut.
314260	318480	And that's where I did my PhD in adaptive control.
318480	319480	Okay.
319480	320480	Yeah.
320480	326720	So this is actually a good assist for me to ask you, what is adaptive control or even
326720	327800	what is adaptation?
327800	333180	So before we delve into this topic, I think I should mention that, well, you wrote one
333180	335940	of the Bibles of adaptive control.
335940	341300	And I do suggest to everyone in the audience to check out the first chapter of the book
341300	347380	Stable Adaptive Systems by Anu and Professor Narendra, because there is a really fantastic
347380	351220	section about how to even define adaptation.
351220	354500	And it seemed absolutely non-obvious when the whole field started.
354500	357300	So maybe you can tell us a bit more about that.
357300	358300	Absolutely.
358420	364420	So adaptation is exactly what the English word means, it's, you know, as it is defined
364420	371100	in biology, advantageous confirmation of an organism to changes in its environment.
371100	375380	So interestingly enough, and I don't know if this was quite your question, but let me
375380	378860	answer if it's a different question, then apologies.
378860	386100	So in adaptation, that concept is the one that caught the imagination of a lot of flight
386100	388820	control engineers and admirals.
388820	396060	And so what they really wanted to do was to design systems, design controllers that figured
396060	397420	on the fly.
397420	403020	And again, the emphasis is on the fly, meaning in real time, as to how to adjust its structure
403020	408340	so that it adapted to changes in the environment and corrected itself and behaved.
408340	415900	So even before theory, adaptive control theory came into being, adaptive control practice
415900	417940	was already there.
417940	422580	So it's one of those interesting cases where practice was ahead of theory.
422580	430500	And so there was this one specific hypersonics program called X-15, where the different control
430500	436100	loops that they had, they chose to make one of them adaptive.
436100	442140	And they actually had several successful flights where the notion of adaptation was basically
442220	449020	in the form of control gains in the feedback loop that basically toggled between two different
449020	450300	values.
450300	452980	And they did that on the basis of what they were measuring.
452980	459620	So in some sense, an exact manifestation of advantageous changes in the organism in response
459620	461580	to changes in the environment.
461580	465860	And they had several successful flights that basically did that.
465860	469220	But then I'm sure we will get more into what happened next.
469380	470100	Absolutely.
470100	476220	That was really the idea behind adaptive control.
476220	484500	And the symposia that were held on adaptive systems at that time tried to capture that
484500	487060	essence in the definition of an adaptive system.
487060	493340	So and then came lots of different efforts in trying to come to a very crisp and useful
493340	496820	definition of adaptation and adaptive control.
496820	500700	And that's what we tried to capture in that introduction.
500700	502500	And one thing left to another.
502500	506020	And then it sort of came to what we know as adaptive control now.
506020	507500	But we can get into that later.
507500	508140	Absolutely.
508140	509820	So I'm glad you mentioned that.
509820	514220	I mean, I guess the main motivation for the development of adaptive control and now we're
514220	519420	talking about pretty much the 60s, I would say, or even before that, of course, we can
519420	524180	trace it back to Norbert Wiener and we can even go probably even backwards.
524220	531540	But I guess the 60s, between the 60s and the 65, is what is called the brave era of adaptive
531540	537540	control. And really, it's fascinating to see how many concepts have been developed just
537540	540020	in that five years span.
540020	541500	So I don't know.
541500	545660	Do you have any thoughts about the developments specifically in that time range?
547540	548700	So, yes.
548700	555220	So I mentioned the symposium, and that was a time when people were talking about and
555220	558940	even implementing adaptive control in flight control.
558940	563980	And around the same time is when the concept of state was being defined.
563980	569060	And, you know, the seminal papers by Kallman, Miranda and Ho came at that time.
569060	574020	And dynamic systems and control systems started to get codified around that around that
574020	574980	time as well.
575140	581660	And so people were beginning to understand how to implement the notions of feedback
581660	586620	control and the methods by Black and Bode and Nyquist and understanding closed loop
586620	591540	control system design using by analyzing forward loop and so on.
591540	597420	So it's interesting to see, you know, that the history of feedback control is almost or
597420	602660	rather the history of adaptive control systems has been as long as at least as long as
602660	609300	the history of control systems, because it's very easy, just like feedback is such a
609300	616620	fundamental and conceptually simple idea to understand and to get motivated by.
616620	618100	So is adaptation.
618100	622860	And so, in fact, you could argue that, you know, as you think about it at a very
622860	629380	philosophical level, the idea of a feedback control system is not that far from the idea
629380	630700	of an adaptive control system.
630700	638140	So I would say those many of those fundamentals started to get defined around that time.
638140	641620	But then I think we probably go towards the early 70s.
641620	644460	If you want, I can get into into that.
644460	649820	Yeah. So I would like to maybe add a few things about this brave era and then we can
649820	652340	definitely move on to the 70s.
652340	657700	So what I personally found fascinating was that there were incredibly influential people
657700	659860	working in this specific time range.
659860	667060	So between the let's say until the 1965, that we're focusing on adaptive systems.
667060	672620	So we're talking about people of the caliber of not only Kalman and Bellman, but also
672620	678820	Simon, who got a Nobel Memorial Prize in economic sciences in 78 for works on dynamic
678820	681300	programming under uncertainty.
681300	687020	And it is around this time that also the concept of dual control theory is being
687020	690140	developed by Feldbaum in Soviet Union.
690140	696860	And also Whittaker, I guess, is around this time that the famous MIT rule is developed.
696860	702820	Maybe you can tell us something about that rule and also what led to, I don't know,
702820	705180	the future developments in the 70s.
705180	710940	Sure, sure. So let's go back to what we talked about as the concept of adaptation,
710940	715140	right? Advantageous confirmation of an organism.
715140	719700	So bring it to the context of a dynamic system.
719700	725100	So here you have a dynamic system, which is the actual, say, aircraft or robot or process
725100	726700	controller or what have you.
726700	730740	And you are monitoring how it's performing.
730740	735340	And then a controller is set in and set in place in closed loop.
735340	736660	And then you design the controller.
736660	739340	So that's what every feedback control system does.
739380	745340	So now the advantageous confirmation here in the context of an adaptive control system
745340	754420	is basically one where you are advantageously adjusting the control parameters in that
754420	759020	control system. So imagine if you had a PID controller, then you're adjusting the PID
759020	764940	gains because what you did at 10,000 feet might be very different from what happens at
764940	767020	30,000 feet and so on.
767020	771660	And so something like a hypersonics flight, which basically covers a large flight
771660	776100	envelope, you do need to have that flexibility in adjusting yourself.
776100	777700	So what do you do then?
777700	782020	What is the response from the environment that you observe?
782020	785300	Then you look at some sort of a performance quantity.
