start	end	text
0	10440	Hello and welcome to In Control, the first podcast on control theory.
10440	23240	Here we discuss the science of feedback, decision making, artificial intelligence and much more.
23240	26920	I'm your host Alberto Padoan, live from a recording studio in Zurich.
26920	31200	Big thanks to our sponsor, the National Center of Competency Research on Dependable Ubiquitous
31200	35620	Automation and the International Federation of Automatic Control.
35620	40140	Our guest today is Stephen Boyd, Samsung Professor in the School of Engineering, Department of
40140	43260	Electrical Engineering from Stanford University.
43260	44840	Welcome to the show, Stephen.
44840	45840	Thanks Alberto.
45840	46840	I'm very happy to be here.
46840	51060	Well, Stephen, there's a million different ways that I could start this episode.
51060	54920	You are one of the most well-known researchers in our field.
54920	61000	You're ranked among the top 10 researchers in research.com in the engineering and technology
61000	62840	scientists ranking.
62840	67400	And according to Wikipedia, you are well-known for convex optimization.
67400	72080	But I wonder whether you still identify as a control theorist.
72080	73080	That's a good question.
73080	75200	Actually, I do.
75200	80380	Control was maybe not quite my first field, but it's essentially the field that I grew
80380	82400	up in intellectually.
82400	85720	So I absolutely identify as someone in control.
85720	91200	I do sometimes cringe at the theorist part of it, brings back bad memories and things
91200	92200	like that.
92200	95440	But control, absolutely, I do identify as a control person.
95440	96440	Yeah.
96440	97920	Because your first degree was in mathematics.
97920	98920	That's right.
98920	99920	From Harvard University.
99920	100920	Is that right?
100920	101920	That's right.
101920	102920	My undergraduate degree was in pure math.
102920	106000	And I even went off to Berkeley for a PhD.
106000	110400	I entered in pure math, but within a year I had transferred to EECS.
110400	111400	So I'm curious.
111400	113360	What had drawn you to control?
113360	116640	You know, actually, I'd like to say that I thought about these things very carefully
116640	121040	and looked at different fields and, you know, made a table of the pluses and minuses.
121040	122840	And that's a complete lie.
122840	124000	I did no such thing.
124000	126400	It was just completely accidental.
126400	130920	I had been in pure math, but I was getting an inkling that I wanted to do something more
130920	132360	applied.
132360	137560	And I went over to take some classes in EECS at Berkeley.
137560	142280	I took classes from people like, you know, Eugene Wong, Pravin Varaya, Charlie DeSore.
142280	144720	Now I thought this was just a random sampling of classes.
144720	146120	Of course, it wasn't.
146120	151160	These are some of the most mathematical and brilliant people in, you know, the whole area.
151160	153400	And I thought like, wow, this is awesome.
153400	158280	So I transferred to EECS in my second year of my PhD program.
158280	159280	Yeah.
159280	164200	And I think I was also reading on perhaps the Control Systems magazine, you were touring.
164200	165200	That's true.
165600	167920	And you were involved in a rock and roll band.
167920	172160	I'm not sure how does that blend with, you know.
172160	173160	Not a band.
173160	178400	So actually this, it does kind of explain, you know, my background, which is very weird,
178400	179400	I think.
179400	180400	Yeah.
180400	182160	Is that related to your passion to EECS?
182160	183160	It is.
183160	187200	You know, when I was like, let's say in high school, I did two things.
187200	188200	Pure math.
188200	190200	So I was into pure math very, very young.
190200	191440	I did pure math.
191440	196240	But I also did a very super applied electrical engineering, right?
196240	200480	So I worked as a stagehand at a large theater in Berkeley, and they had rock and roll shows
200480	203040	come in every weekend or something like that.
203040	206800	And maybe one result of that was, you know, by the time I graduated from high school,
206800	210160	I actually, I knew quite well how rock and roll shows work.
210160	211680	I knew exactly what everything did.
211680	215160	I knew, I even started recognizing people who were touring with, you know, different
215160	216560	bands and things like that.
216560	220520	So anyway, I went off to Harvard as an undergrad.
220600	222280	I was in pure math.
222280	225320	By the way, at this point in my life, I was actually fairly clueless.
225320	230120	I didn't really know that, for example, EE and math were related.
230120	231120	Right.
231120	234840	I mean, I know that sounds ridiculous these days, but I don't know.
234840	238720	Well, I was just pretty clueless also, but it was also just a lot less information out
238720	239720	there.
239720	245040	But I guess in a way you were already familiar with the concept of amplifiers, feedback and
245040	246040	all those things.
246040	247040	Yeah, I certainly did.
247120	250720	When I, you know, when I did electrical engineering, we certainly used math, but it wasn't sort
250720	253400	of like, you know, advanced or fancy kind of math.
253400	254400	Yeah.
254400	258880	Anyway, so when I went off to Harvard, I remember I wrote a letter, which of course is like
258880	263920	completely hilarious these days, but I wrote a letter to the head of what was then the
263920	268720	second largest rock and roll sound company in the U.S. called Maryland Sound Industries,
268720	269720	MSI.
269720	273640	I mean, I'm sure everybody wants to do this, but it's probably so shocked to get a letter
273640	276400	from a kid at Harvard that he responded.
276920	279760	So I went out on a test thing, you know, test drive or whatever.
279760	283680	I went for like maybe two, three days with not a lot of sleep.
283680	288840	I had the great advantage that I knew their systems perfectly because they'd come, you
288840	292960	know, they had something like 14 tours every summer, two or three of them would come through
292960	295360	the theater where I worked and I actually knew their equipment.
295360	296360	I knew how it worked.
296360	299680	It was actually quite innovative and cool to have like really kind of cool patch panels
299680	300800	and things.
300800	302000	So I knew how it worked.
302000	305740	So I remember they told me, they said, go wire up the left side of the stage, but don't
305740	310700	even think about powering it up, you know, because if I wired it up wrong, everything
310700	312700	would blow up or something like that.
312700	316260	So I went over, I knew how the system where I fixed it all, I wired it all up, came back
316260	318220	and they said, what are you, an idiot?
318220	319220	What happened?
319220	320220	We said to go wire.
320220	321220	I said, it's done.
321220	322420	And they said, well, that's impossible.
322420	323740	No one could do it that fast.
323740	327580	And the guy comes over and looks at it and he starts like holding his head and he says
327580	329820	like, oh my God, he did.
329820	335580	So then what happened was then rumors started spreading of me being a rock and roll sound
335580	337340	wunderkind.
337340	338340	That's what happened.
