start	end	text
0	10480	Hello and welcome to In Control, the first podcast on control theory.
10480	23000	Here we discuss the science of feedback, decision making, artificial intelligence and much more.
23000	26600	I'm your host Alberto Padoan, live from a recording studio in Zurich.
26600	30840	Big thanks to our sponsor, the National Centre of Competence in Research of Dependable Ubiquitous
30840	35120	Automation and the International Federation of Automatic Control.
35120	39560	Our guest today is Mustafa Kammasch, Professor of Control Theory and Systems Biology in the
39560	44320	Department of Biosystems Science and Engineering at ETH Zurich.
44320	45840	Welcome to the show, Mustafa.
45840	47120	Glad to be here.
47120	50200	Thanks for having me at your podcast, Alberto.
50200	52520	Mustafa, let's jump right into it.
52520	55800	What is cyber genetics?
55800	63320	Cyber genetics is actually a portmanteau of two words, cybernetics and genetics.
63320	69160	And it's a term I came up with a few years ago because I got tired of saying all the
69160	74680	time research at the interface of systems and control theory and genetic engineering.
74680	80560	So it just seems much more fun and much more compact to just say cyber genetics.
80560	86960	So essentially it is just that, it's a fusion of cybernetics, which is the term coined by
86960	95320	Norbert Wiener in 1948, which aims to study control and communication in the human and
95320	99880	in the machine under the same umbrella.
99880	104680	And it has a more modern feature, which is the genetics part.
104680	110480	As you see, at the time of Norbert Wiener, 1948, the structure of DNA hasn't even been
110480	112280	discovered yet.
112280	119600	And so much of the work that went on in cybernetics had more to do with things like neuroscience,
119600	125860	maybe diseases that had to do with neuromuscular sources.
125860	128240	But nowadays we have much more powerful tools.
128240	132340	We have much more powerful genetic tools and we could do so much more.
132340	136960	And so you can imagine now we can bring this cybernetics to a new level.
136960	139820	So that's what I mean when I say cyber genetics.
139820	143300	Yeah, that's a fantastic definition.
143300	147060	I might ask, what is a gene actually?
147060	148220	What do we mean by that?
148220	150780	And what do we mean by genetics?
150780	152860	What are the goals there?
152860	158540	Yeah, I think a gene is essentially the basic hereditary units.
159260	165480	You know, very simply, you can think of a gene as corresponding to a single protein.
165480	166660	It's not exactly like that.
166660	170820	It's not always like that, but I think this is good enough.
170820	178340	And so each gene is a stretch of DNA encoded using nucleotides on DNA.
178340	183240	And when that stretch is expressed, the outcome is a single protein.
183240	188880	This protein goes on to interact with other proteins or maybe with other genes to implement
188880	190880	various different functions.
190880	196120	I guess there it would be useful to have a small primer on how biology works and how
196120	199680	DNA is used in biology or in biological systems.
199680	203900	Yeah, so of course DNA is central to life.
203900	209840	In its sequences are encoded, you know, all the biological functions that the organism
209840	211840	requires.
212320	216480	It's extremely dense with information.
216480	222620	And so you can think about DNA as encoding all the information needed for the biological
222620	225140	processes required for life.
225140	229700	But it's not only a storage device, because DNA itself is a molecule and it interacts
229700	237960	with other proteins through which this interaction regulates the amount of gene expression.
237960	243000	So gene expression is a term that comes up repeatedly, and you mentioned something about
243000	244000	it.
244000	246040	So it consists of two different processes.
246040	250700	The first one is transcription, and the second one is translation.
250700	257400	So transcription is the process by which the DNA is read inside the cell.
257400	263060	And the outcome of this transcription process is messenger RNA.
263060	271540	So you have a messenger RNA that then goes on to be translated by cellular machines called
271540	278900	ribosomes, and the outcome of that process, of that translation process, is these proteins.
278900	286500	Usually you have a sequence of amino acids that then folds into a secondary structure
286500	292340	or a tertiary structure, and once it's fully folded, then it's called a protein, and that's
292340	293340	when it's functional.
293340	297740	And by functional, I mean, you know, it can interact with other proteins, with other RNAs,
297740	303820	with other genes, to do all the wonderful things that the cell has to do to exist.
303820	309260	I guess that maybe at this point already, someone in the audience will think, am I listening
309260	311620	to the right podcast?
311620	314940	But you mentioned so many words that come from engineering.
314940	321460	So you mentioned regulation, you mentioned machines, you literally called ribosomes machines,
321620	325940	you mentioned interaction, which is so key in our field.
325940	331300	So what is the role of control theory here, and what does it have to do with biology?
332740	336420	Actually, control is very native to biology.
336420	343940	In fact, biological systems discovered control billions of years before we did,
344580	349380	and they have been employing it in different flavors, different levels of organization,
350100	352100	much longer than we have.
353060	359700	And so it's not really an exaggeration to say that much of the complexity of biological
359700	362980	systems have to do with the requirements of regulation.
363540	368180	And that's because regulation, or what biologists call regulation, what we also call control,
369300	376100	exists at every level of organization in biology, from the molecular level, to the cellular level,
376100	379860	to the tissue level, to the organism level, even to the ecological level.
380500	386740	And so if you look at the typical biological systems, you will very quickly find tons and
386740	392420	tons of feedback loops, feedforward loops that are helping the cells achieve their various
392420	395060	functions in a very robust fashion.
395060	402100	So really, it's quite natural to be doing control in biology, because as I said, much
402100	405380	of the complexity of biology is about regulation.
406260	407620	Or comes from this regulation.
408900	409220	Yeah.
409220	414260	And I was actually looking at your biography, you know, in doing my homework for this podcast,
414260	419780	and you're natively a control theorist, but you then moved, ventured, if you want, in
419780	420260	this field.
420820	425220	And so I was wondering what has drawn your attention from being a very theoretical person
425220	432100	who was working into deep questions in robust control towards this fascinating field?
433220	434580	Yeah, that's a very good question.
434580	439700	Actually, thinking back at those times, this was in the late 90s.
441060	446980	So I was working on robust control for my PhD thesis, and the early and mid into the
446980	449700	late 90s, I was still working on robust control.
449700	454020	But by that time, really, the main problems in robust control have been solved.
454020	458740	So the H-infinity problems, state space solutions, Turicati equation problem has been solved.
459460	464260	And there wasn't much left in terms of, you know, big problems.
465060	470100	And at the same time, around the same time, my wife had our second child.
470100	475620	And after childbirth, she had the problems with her thyroid gland.
475620	480340	So she was going through a period of hyperthyroidism and hypothyroidism.
480340	486180	So the thyroid hormones were essentially oscillating like crazy.
486820	488900	And I had no idea what was going on.
489780	493780	So I went to the library and I picked up a textbook on endocrinology.
493780	496420	Endocrinology is a science of hormones and their actions.
497220	502740	And really, this was a very transformative moment because I was shocked by what I was
502740	503620	reading.
503620	510580	Everything in that book seemed like it's a control theory without equations, right?
510580	516340	So there's one exquisite feedback loop after the other, doing all kinds of different things,
516980	518340	but of course, no equations.
518340	520020	So I was really fascinated by this.
520020	526100	And that led me to go to the National Animal Disease Center at Iowa State University, where
526100	527620	I was at the time in the US.
528260	532420	And I talked to one of the physiologists and I said, you know, I'm a control theorist.
532420	536180	Please, can you give me a problem where you think control theory could be useful?
536180	540180	And it was very naive, but actually, it turned out he gave me a fantastic problem.
541060	549140	He gave me a problem that he was working on that had to do with how mammals, in his particular
549140	552660	case, dairy cows, regulate their blood calcium.
554100	562100	So us humans and other mammals, we have a very tight regulation of calcium in the blood
562100	562580	plasma.
562580	567140	This is important because calcium ions are needed for muscle function, nerve function,
567140	569300	blood clotting, signal communications, and so on.
569300	572580	So it's a very important biochemical role.
572580	580020	And because of that, we have evolved a very elaborate control system to maintain the
580020	583700	concentration at about 9 milligrams per deciliter.
583700	588500	So it's really a fascinating problem, and it could have been a better problem to start
588500	588740	with.
589460	595460	In that case, they were looking at a specific disease that dairy cows had that humans don't
595460	596100	usually have.
596100	597220	It's called milk fever.
598180	603220	And it turned out to be some kind of a dynamic instability in the closed-loop system that
603220	608580	was induced by the way humans breed cows to make more and more and more milk.
609460	616660	And so myself and another young master's students that I had, we had a lot of fun
616660	617860	working out the details.
618660	624340	And when all the dust settled, we had discovered that mammals regulate their blood calcium
625300	627700	by using proportional integral feedback.
627700	628820	It's as simple as that.
629380	632500	So that was kind of a nice discovery.
633060	637300	All the ingredients and the elements were there in terms of the main players, the hormones
637300	638260	and their interactions.
639140	645460	It just waited for somebody with a control perspective to explain what these interactions
645460	646580	were actually doing.
646580	651780	Well, you probably didn't have any mathematical model for studying this phenomenon, or was
651780	653140	there actually any?
653140	654900	Did you have to develop everything from scratch?
655700	661460	We didn't have any mathematical model, but we developed a very, very simple model, actually.
662180	667220	Just looking at the blood volume as a constant volume and looking at various sources for
667220	672580	calciums and various sinks, and then making simple arguments like, you know, disturbance
672580	674660	looks like an outflux of calcium.
674660	679780	And then we know the system regulates with zero steady-state tracking error, so the
679780	682100	controller must have such and such properties.
682740	686900	And so the model we used actually was very simple, maybe a second-order model.
686900	692500	Only when we were looking at the specific disease did we have to go to more complicated
692500	693300	nonlinearities.
693300	698100	And even then, there were saturation-type nonlinearities, which were very naturally
698900	703780	justified based on the nature of the disease that we were working with.
703780	708420	So basically, third-order linear systems with saturation nonlinearities.
708420	710100	That was sufficient to explain the whole story.
710100	714500	Of course, one can develop more complicated models with different compartments and so
714500	719060	on, but I think for the purposes that we needed it, this was sufficient.
719060	720180	And the essence was there.
720900	726820	And so that was your, let's say, initial start in this world of systems and synthetic
726820	727220	biology.
727220	731700	Actually, may I ask, what is the difference between the two fields, between synthetic
731700	733140	biology and systems biology?
733860	734900	That's a very good question.
734900	737220	I get asked this question a lot.
737940	745460	I think, you know, one analogy would be it's similar to the difference between system theory
745460	746420	and control theory.
747780	755620	So systems biology aims to analyze existing biological networks, and it's some kind of
756260	758100	reverse engineering, if you will.
758100	762740	So you have a network that's functional, you have a cell that's doing a certain thing,
762740	765300	you're trying to understand why it does what it does.
765300	768260	And when it fails, why it fails.
768260	771620	And so you kind of ask questions about a network that already exists.
772340	776660	Now, synthetic biology does things a little bit differently.
776660	778660	So it's more like a forward engineering.
779860	782340	How can we modify this network?
782340	790100	How can we add additional components so that it either achieves new function or it fixes
790100	792660	the function that somehow was broken, right?
792660	798580	So if there's a disease and then you add a new element into your cells to kind of cure
798580	802340	that disease, this would be more on the forward engineering part.
802340	804340	So I think that's really the main difference.
805140	809540	It's like adding the synthesis aspect to a systems biology.
810180	815060	In our language, the former would be analysis, dealing with analysis, and the second would
815060	816100	be dealing with design.
817220	819620	So they go hand in hand, they're complementary.
819620	822260	That's a very good way of saying it.
822340	825300	Also, synthetic biology can be used for analysis.
825300	831380	So for example, let's say you have a hypothesis about a biological system, you think it works
831380	835140	in a certain way, and then you go build it in the lab.
835140	838740	And if it doesn't function the way it's supposed to function, then you have to adjust
838740	839620	your understanding.
840500	848020	And so one can also think of synthetic biology as sort of a field that allows you to tinker
848020	854020	and get a deeper understanding of the underlying science, not only just to build new things.
854020	858660	And this is reminiscent of another Feynman quote, building his understanding that appeared
858660	860020	on this podcast before.
860020	860500	Yeah.
860500	862500	What I cannot build, I do not understand.
862500	863700	Exactly, exactly.
