start	end	text
0	10480	Hello and welcome to In Control, the first podcast on control theory.
10480	21920	Here we discuss the science of feedback, decision-making, artificial intelligence, and much more.
21920	27280	I'm your host Alberto Padoan, live from our recording studio at ETH Zurich.
27280	31840	Big thanks to our sponsor, the National Center of Competence in Research on Dependable Ubiquitous
31840	36520	Automation, which you can check following the link in the description.
36520	38360	Our guest today is Ben Recht.
38360	43240	Ben is a full professor in the Department of Electrical Engineering and Computer Sciences
43240	46160	at the University of California, Berkeley.
46160	48200	Ben has received a number of awards.
48200	54840	I'm just going to mention that Ben received the NeurIPS Test of Time Award twice.
54840	55840	Welcome to the show, Ben.
56200	57520	Thanks for having me.
57520	64640	So perhaps one nice way to start this podcast is to say that you predicted the existence
64640	66040	of this podcast.
66040	71520	In an IFAC plenary about two years ago, if I'm not wrong, you said this.
71520	76280	And I'm just kind of considering this like an experiment in podcasting because the world
76280	80320	really needs a control theory podcast.
80320	81320	Maybe there is one.
81320	83880	If there is one, I'm happy to participate.
83880	84880	Send me an email.
84920	88440	I'd love to jump on your control theory podcast.
88440	91200	So Ben, you did envision this happening.
91200	93760	So where should I invest my money?
93760	94760	What else can you predict?
94760	98840	Did I predict or did I cause?
98840	102600	I think that's always the tricky question with all of these things, right?
102600	104240	Well, there is a funny anecdote here.
104240	107880	I was absolutely not aware of you mentioning this thing.
107880	113840	I did not participate to that conference, nor did I watch your lecture before somebody
113840	117080	told me in our department.
117080	124040	And then I went on the internet, I found your plenary on YouTube, and I was so pleased to
124040	128040	see that somehow you managed to predict this thing.
128040	130040	Yeah, man.
130040	134520	So Alberto, why did you decide that you, I mean, independently decide that you wanted
134520	136800	to do a control-centric podcast?
136800	142360	Well, you know, there's so many other podcasts out there about artificial intelligence, machine
142360	144880	learning, even soft robotics.
144880	151920	So I guess it's time for us to step up or step out of our academic rooms and maybe talk
151920	154560	about our cool stuff.
154560	155560	Absolutely.
155560	164140	Perhaps a good starting point for our chat today will be about your personal trajectory.
164140	166520	How did it all start?
166520	167520	How early should I go?
167520	168520	As much as you want.
168520	169520	It's a little bit hard, right?
169520	170520	Six months in, if you want.
170520	180080	I mean, I'm having a hard time remembering how I got to my office today.
180080	181080	So it's a lot.
181080	184000	It's trying to dig back into some ancient times.
184000	185000	I don't know.
185000	186000	It's interesting, right?
186000	193960	I think we're in this funny period of recruiting graduate students, and I always like to ask
193960	197920	graduate students why they want to go to graduate school.
198920	200920	I actually stole this one from my wife.
200920	207240	One of the questions I ask them or tell them is, you know, if you could envision yourself
207240	213680	doing anything else other than going to graduate school, you should probably just do that.
213680	215080	I firmly believe that.
215080	219360	I really feel like if you can figure out some other thing that would make you happy and
219360	222480	fulfilled and that, you know, maybe it's risky, maybe it's not.
222480	225760	I still suggest that people do that.
226600	230320	For whatever reason, I wasn't one of those people.
230320	233280	I kind of fell into the going to graduate school thing after college.
233280	234280	I wasn't sure.
234280	239440	I mean, I was always, you know, good in school, but I always had this.
239440	240440	I had a lot of other passions.
240440	246560	I was really into music as a high school kid and college kid, and by the time I got to
246560	249480	my senior year of college, I thought to myself, either I'm going to do one of two things.
249480	257560	I'm either going to go and try to volunteer at all of these recording studios in Chicago
257560	261080	where I was going to undergraduate or I'll go to graduate school.
261080	263160	And then I looked at the graduate schools.
263160	267360	I found one that looked kind of interesting at MIT where they were doing a bunch of weird
267360	268360	stuff.
268360	269560	And it was like, OK, this looks different.
269560	271200	It would be a big change.
271200	272800	They're kind of doing stuff related to music.
272800	273800	I'll just apply there.
273800	275320	And it was very dumb.
275320	277880	Me as a 22 year old, just I had no, I mean, I don't know.
278280	282520	It was not very well thought out process to how I ended up where I am.
282520	288600	But I think it was, it's interesting to go from, you know, I did pure math as an undergraduate.
288600	294800	I decided pretty early on, well, not pretty early on, actually, I remember that when I
294800	300960	decided I couldn't be a mathematician, it was in a class on commutative algebra.
300960	306280	We had done some kind of proof in this class that required six chalkboards and it was just
306320	308480	a diagram drawing all the other chalkboards.
308480	311440	And then I was, I just thought that was one of those wake up and be like, I don't know
311440	313160	what I'm doing with my life days.
313160	316000	And I was like, I can't do this for the rest of my life.
316000	317680	So I kind of just wandered around a lot.
317680	320840	But it was one of those things where if I had, if I had a better idea, I probably would
320840	322840	not be where I am today.
322840	327960	So I ended up at MIT and that kind of changed a lot of my perspectives, going from someplace
327960	330480	very theoretical to someplace very applied.
330840	337880	And so having those, having that big juxtaposition, that big pendulum shift has been something
