start	end	text
0	10440	Hello and welcome to In Control, the first podcast on control theory.
10440	23440	Here we discuss the science of feedback, decision making, artificial intelligence and much more.
23440	27040	I'm your host Alberto Padoan, live from a recording studio in Zurich.
27040	31200	Big thanks to our sponsor, the National Centre of Competence in Research on Dependable Ubiquitous
31200	36360	Automation, as well as the International Federation of Automatic Control.
36360	41360	Our guest today is Rodolf Sapulka, from the University of Cambridge, is Professor of Engineering
41360	43160	in the Control Group.
43160	44840	Welcome to the show, Rodolf.
44840	45840	Thank you.
45840	47840	And good morning, Alberto.
47840	52120	So I should probably give a small disclaimer that I've been spending a lot of time with
52120	54960	Rodolf over three years in Cambridge.
54960	61320	Some time ago in my past, it's been a pleasure to do so and so it will be potentially a semi
61320	66440	different episode in the sense that I know you better than other people.
66440	71440	And so having spent quite some time together, I know you are an avid reader and an avid
71440	72440	hiker.
72440	77880	So I guess just to break the ice, I'm curious about knowing what is on your reading list
77880	78880	at the moment.
78880	79880	Wow.
79880	81880	A very unexpected question.
82800	87880	There are always many things on the reading list.
87880	93960	But actually, there is nothing on the reading list right at the minute, strangely enough.
93960	99680	And often the best novels that I've read, I discovered them by complete accident, for
99680	103040	instance, in the bookstore of an airport.
103040	107360	And so I'm always, I like to be surprised.
107360	111400	And sometimes this leads to the best reads.
111920	112920	I'm curious.
112920	119680	So, OK, one quote, one from one of your favorite readers is Oran Pamuk, a Nobel Prize in Literature
119680	120680	in 2006.
120680	126660	So he said in The New Life, I read a book one day and my whole life was changed.
126660	130720	So if that were to be the book, which one would it be for you?
130720	131720	Which book?
131720	132720	Yes.
132720	133720	That changed my life.
133720	134720	Yeah.
134720	142800	I don't think I could single out one book also because books, yeah, maybe it will be
142800	145000	a strange answer to your question.
145000	152560	But as a teenager, I was totally fascinated by Dostoyevsky.
152560	159200	And then there was a strange event that occurred to me when I was around 40.
159200	164960	And one day I picked a book of Dostoyevsky and I said, let's go back to it.
164960	167680	And I stopped after three pages.
167680	174880	And I realized at that time that the emotion that you can experience while reading a book
174880	182360	is extremely dependent on your age, your environment, your stage in life.
182360	189400	And so I think that it's not that certain books are objectively monuments.
189400	190600	Of course they are.
190600	194860	But I think it's always a story of resonance.
194860	202040	And so it's a resonance at a particular time for a special reason between the reader and
202040	203240	the writer.
203240	206720	That's how I would describe my experience with books.
206720	212960	I actually love this answer because it kind of adds a dynamic element to a book.
212960	217800	It's not something that is there forever, but it really has to be a synergy between
217800	219760	the reader and the book itself.
219760	221080	It's always an encounter.
221080	222080	Yes.
222080	223760	Very fascinating.
223760	229040	So since you mentioned you being a teenager, I like to always draw a sort of picture of
229040	230800	your trajectory as a human.
230800	231800	Yeah.
231800	234360	So I'm curious about what brought you to control.
234360	240120	So like, what is it about, say, your environment or your childhood or anything that you can
240120	243080	think of that brought you to control?
243080	244760	That's very hard to answer.
244760	248240	Again, I don't have a very clear answer.
248240	255360	I can pinpoint events that eventually brought me where I am.
255360	261200	And so one event that perhaps I could tell about what led me to control, even though
261280	267280	it has nothing to do with control, is that it was my second year of engineering.
267280	272600	And it was the course of thermodynamics, which was definitely not my favorite subject at
272600	273600	the time.
273600	280320	But I remember very vividly that the professor once entered the classroom and was nearly
280320	287320	shooting at us and saying, have you heard of what has just been reported that for the
287320	295640	first time ever, one has observed superconductivity above 30 degrees Kelvin.
295640	298760	And that experiments will change the world.
298760	304360	And he went on and for the best part of the lecture, he just told us about these experiments
304360	308280	and why it was fascinating and what would be the consequence of it.
308280	315480	And I don't remember anything of what he told, but I do remember his eyes.
315480	321280	And I do remember the light and I would say the fire during that lecture.
321280	327080	And perhaps it is the moment in my life where I sort of experienced for the first time that
327080	331900	there is such an intimate connection between teaching and research.
331900	338760	And I would say that today I would pinpoint that event as something that led me to my
338760	344840	profession, even though I'm sure that at the time, you know, it was just a complete accident.
344840	348200	Perhaps this professor doesn't remember that he told those stories.
348200	354000	Again, it is a sort of a resonance that is completely accidental.
354000	362200	And I think of any trajectory as somehow interpolating between those events.
362200	366120	And those events are always independent of you.
366120	368120	They are very accidental.
368120	375920	So you could wonder whether how an identity can be defined by such stochastic events.
375920	383080	But at the same time, I like to think that where I am today is not that dependent on
383080	387840	those events and that perhaps a completely different sequence of events would have led
387840	392640	to a trajectory that would not be so different.
392640	394640	And to me, this is a mystery of life.
394640	402120	The fact that we are so much determined by accidental events.
402120	406640	And at the same time, our own identity is not so much in these events, but how we respond
406640	408000	to those events.
408000	415040	And maybe this is my fascination for control theory, because after all, control theory
415040	421040	is a science where you study the interaction between the external and the internal.
421520	425160	We study how systems respond to disturbances.
425160	430440	I find this quite deep and central to engineering, actually.
430440	435160	And decision making is the only lever that you can pull somehow.
435160	437800	I mean, it's definitely fascinating.
437800	442560	I guess the only comment I have is that in a sense, one cannot repeat the experiment
442560	444520	as to the best of our knowledge.
444520	445520	Absolutely.
446000	452280	So we don't know who we would be with another sequence of events.
452280	458720	But this is not something that causes me any anxiety, I would say.
458720	464240	It's also a fact that all these events that I sort of would pinpoint today to define my
464240	470680	trajectory always involve human beings and always involve encounters, those resonance
470680	473160	that I was talking about earlier.
473160	478600	I cannot remember reading a book or reading a text and saying, this is going to change
478600	480360	my life.
480360	487440	But I can pinpoint a sentence that someone told me and that somehow became very important
487440	488440	in my life.
488440	489440	Yeah.
489440	491720	That changed the course of events in a sense.
491720	495960	Well, I mean, I guess one of the things that I really want to mention is that, you know,
495960	500840	by interacting with you over the years, one of the things I learned from you is an appreciation
500840	503360	for the history of a problem.
503360	509360	And so I found a very nice quote from Kepler from the Astronomia Nova.
509360	515120	So he says, the roads by which men arrive at their insights into celestial matters seem
515120	519680	to me almost as worthy of wonder as those matters themselves.
519680	523880	So today I would like to try and draw, you know, your trajectory.
523880	529480	You started from at least academically speaking from a paper with your PhD advisor, stability
529520	533800	for dynamical systems with first integrals, a topological criteria.
533800	538280	So something very mathematical and very much rooted in nonlinear control.
538280	543040	And today I would say that your manifesto that we will talk about certainly in a second
543040	547220	is towards building spiking control systems.
547220	551000	So how do we connect these two points?
551000	552600	What happened in the middle?
552600	558880	Yeah, again, it's a very strange sequence of events and the events don't really explain
558880	561320	the outcome.
561320	567880	But I think that control theory requires a lot of mathematical abstraction.
567880	575920	And at the same time, I think that control theory to me is really engineering driven.
575920	583240	So the important contributions of control have always come from very concrete engineering
583240	584880	questions.
584880	590480	And it is this meeting point between the abstraction and the concreteness of the questions that
590480	595420	attracts me and that I think has always attracted me in control.
595420	598360	So my engineering education was quite mathematical.
598360	606660	In fact, my specialty was mathematical engineering, if such a thing exists.
606660	612960	So definitely I had a taste for mathematics, as I think many people in control have.
613040	620920	But over the years, I became more and more sympathetic to the concreteness of control.
620920	627440	And this is also what I like about the basic control courses, is that it's hard, I think,
627440	635920	to pinpoint other courses early in the curriculum, where there is such a bridge made between,
635920	641800	you know, the very concrete questions of making the speed of a motor insensitive to
641800	645960	load and complex analysis.
645960	648520	How comes that those things connect to each other?
648520	654160	How comes that a little bit of abstraction is so powerful in providing such concrete
654160	658040	answer that I find fascinating in control?
658040	659440	I totally agree.
659440	665440	And probably I wouldn't even have started this podcast if I weren't so fascinated.
665440	669840	I guess here we are almost at a crossing point in the sense that we can either follow
669840	675800	the chronological course of events and, you know, follow your trajectory starting from
675800	681920	deep theoretical questions in nonlinear control or start in a bit of an unusual way right
681920	682920	from the present.
682920	684600	So what keeps you busy these days?
684600	687640	And I would probably ask you, actually, what do you prefer?
687640	690120	I have no preference.
690120	693040	Of course, it's always easier to speak about the presence.
693480	697360	That's what, you know, keeps me awake.
697360	698920	So let's speak about the present.
698920	702800	I think the present is a very exciting thing to talk about.
702800	708360	At least I was reading the other day your paper on the IEEE proceedings, Spiking Control
708360	714440	Systems, to me that is really a manifesto almost towards what are you going to do over
714440	717640	the probably the next decade, I believe.
717880	724120	I really liked one quote where you say explicitly, we aim at developing a control theory of spiking
724120	729720	systems which will apply both to the natural world of biophysical neural circuits and the
729720	732320	post digital technology of event based systems.
732320	735080	I think that sentence is a masterpiece.
735080	742280	And it somehow is transparent that you also want to inherit all the heritage from cybernetics.
742320	747480	But moving forward, you want to incorporate new knowledge, let's say, coming from control
747480	752280	systems and the mixed feedback principle that we will definitely talk about in a second.
752280	756480	So what is your goal and your motivation, I would say, as well?
756480	766480	Yeah, my motivation is very clearly to focus on the importance of event based systems and
766480	769040	event based control.
769040	774960	As a topic that has received, I would consider very, very little attention in control.
774960	783360	The name I think was quote uncoined by Karl Astrum and his book chapter of 2007 that is
783360	785940	called event based control.
785940	791600	My reading of that book chapter is that itself it builds upon a paper that Karl Astrum wrote
791600	797520	in 1991, together with Carl Vermeet, the father of neuromorphic engineering.
797520	801280	And that brings the importance of events.
801280	808360	And it's very, very defeating to talk about events and to do research about events nowadays,
808360	813840	because our language and the language of information engineering has become so divided between
813840	818560	the analog language on the one hand and digital language on the other hand.
818560	826760	And events are clearly something that mixed the continuous and the digital.
827000	834040	And as a control theorist, I've come to regard this story as a story of mixed feedback, the
834040	841520	positive feedback being associated to discrete states and by stability and automata and the
841520	848320	language of digital technology, and negative feedback being associated with homeostasis,
848320	853920	regulation, and the theory of continuous regulation.
854080	859760	It is only through time and because I was studying neuroscience and because I started
859760	864880	reading what I was seeing in neuroscience as a theory of mixed feedback that I became
864880	870360	aware that in fact cybernetics was a science of mixed feedback.
870360	874400	And I think many people in the community would agree that the cybernetics age was a sort
874400	878800	of a golden age, very short lived golden age of control.
878800	883440	And that nowadays there are many signs that we are sort of returning to that age.
883440	889400	But much better equipped, because in the meantime, we have developed fantastic tools
889400	897400	that we can now use to reconsider questions that perhaps were ahead of their time.
897400	906480	But definitely my view is that the digital age created this strong separation between
906480	911880	positive feedback and negative feedback and that control theory became a theory of negative
911880	918600	feedback and that it is a little bit today the trap where control theory or the corner
918600	925800	where control theory is sitting, and that there is so much more to explore and to be
925800	932960	connected both to biology, but also to now these fast developing event-based sensors
932960	939720	and event-based actuators that is opening so many new questions and new path of research
939760	945120	for control theories that I find is very, very exciting.
945120	947920	There's a lot to unpack in what you just said.
947920	951200	I just want to maybe mention a couple of things for our audience.
951200	956280	And then I guess we will delve into some of the concepts that you mentioned so far.
956280	959400	So first of all, I just want to mention to the audience of control theory, let's say
959400	961880	that who Carver Mead is.
961880	966800	Carver Mead worked with John Hopfield and Richard Feynman, novelist, helping to create
967040	971920	three new fields, neural networks, neuromorphic engineering, and the physics of computation.
971920	977920	Just to name a few, he founded at least 20 companies from integrated circuits to silicon
977920	980360	sensors for photographic imaging.
980360	985000	So he was really a pioneering figure in the history of science.
985000	991160	But since you were mentioning, first of all, the notion of mixed feedback or the mixed
991160	993840	feedback principle, maybe we should try to unpack that.
993880	1000400	So what does that imply or how can we explain, let's say, to our audience, what is the mixed
1000400	1002480	feedback principle?
1002480	1008760	So the mixed feedback terminology comes from the mixed feedback amplifier that features
1008760	1017240	the cover of the well-known textbooks of electrical circuits by Desueur and Shua from the 80s.
1017320	1023880	And on the cover of the textbooks, you see the op-amp with a wire both connected to the
1023880	1028880	negative part of the, so a feedback wire, a wire connecting the output of the amplifier
1028880	1034360	both to the negative part of the amplifier and to the positive part of the amplifier.
1034360	1039720	And the story of the feedback amplifier that we know in control theory, that I knew in
1039720	1043400	control theory, was the story of negative feedback.
1043440	1047800	Historically, things went the other way around.
1047800	1054720	The first use of the op-amp was the positive feedback amplifier, because that was the way
1054720	1058360	to design switches in analog systems.
1058360	1065400	And so until the Second World War, the only way to realize switching circuits and circuits
1065400	1072000	that were not equilibrium circuits was through positive feedback amplifiers.
1072040	1078400	And this makes the discovery of Black, of the negative feedback amplifier, only more
1078400	1085600	impressive that he had this vision that there could be a use of connecting the output of
1085600	1091600	the op-amp to the negative part, because that would make the op-amp less sensitive to
1091600	1094760	disturbance, less sensitive to uncertainty.
1094760	1101680	And so we know that it took, I think, nine years for Black to get his discovery patented.
1101760	1107480	And so that shows the spirit of the time, that why would you ever connect the output
1107480	1110440	of a system to the negative part?
1110440	1115080	And today we have just the opposite view, at least as a student.
1115080	1119920	And I remember speaking to some control theorists and talking to them about positive feedback
1119920	1128160	and seeing that face, that why would you ever connect the output of an op-amp to the positive part?
1128160	1135200	And then the way I read any device in the body, and in particular in the brain, is a
1135200	1137360	mixed feedback amplifier.
1137360	1145000	And so nature somehow is making use of this mixed feedback amplification all the time.
1145000	1148720	And I think for very good reasons.
1148720	1153120	So yeah, this is my short story of the mixed feedback concept.
1153120	1157280	Maybe like just to help the audience grasp what it really means.
1157280	1162880	So I guess what you're advocating is that in a feedback loop, there's always, if we're
1162880	1168760	interested, let's say, in building systems that range, let's say, from the analog behavior
