start	end	text
0	10480	Hello and welcome to In Control, the first podcast on control theory.
10480	23400	Here we discuss the science of feedback, decision making, artificial intelligence and much more.
23400	27440	I'm your host Alberto Padoan, live from our recording studio in Lausanne.
27440	31800	Big thanks to our sponsor, the National Center of Competence in Research on Dependable Ubiquitous
31800	35640	Automation and the International Federation of Automatic Control.
35640	37840	You heard that correctly, we're in Lausanne.
37840	42240	We're not playing home this time, but we're in the neighboring French speaking side of
42240	46480	Switzerland for a nice event which brought together some of the most brilliant minds
46480	50160	out there in control and machine learning, namely the NCCR Symposium.
50160	52560	There will be a link in the description.
52560	57280	Our guest today is Jean-Jacques Zlotin, Professor of Mechanical Engineering and Information
57280	62480	Sciences as well as Professor of Brain and Cognitive Sciences and Director of the Nonlinear
62480	68040	System Laboratory at the Massachusetts Institute of Technology and Distinguished Faculty at
68040	69040	Google AI.
69040	70680	Welcome to the show, Jean-Jacques.
70680	72720	Thank you.
72720	77720	It's a pleasure to have you here and we're honored that you're actually accepted to be
77720	79840	on the show.
79960	84000	Maybe to break the ice, I would like to know something about you as a person.
84000	88840	So what do you like to do in the first six minutes of your days?
88840	89840	Like what's your routine?
89840	90840	Do you have anything specific?
90840	91840	Wake up slowly, yeah.
91840	99240	Well, you know, I don't have a specific routine, you know, so it's maybe if you want some background,
99240	106200	so I'm French, you know, and I moved to the US to do my PhD actually and so on.
106200	109160	Yeah, that's actually something that was interesting for me.
109480	110480	So you were born in Paris?
110480	111480	Yeah.
111480	118080	And so I was wondering whether where you grew up affected you in some way as a researcher,
118080	119560	not only as a person somehow.
119560	126360	Yeah, I feel very French and in a sense, I, you know, it used to be maybe a little less
126360	130760	so now, but the French training in mathematics was really strong, much stronger than in the
130760	132200	US.
132320	140440	And so when I did my PhD in the US, I never thought of staying there, you know, so but
140440	145880	of course, you know, places like MIT are meeting places, are places where some of the best
145880	150960	students of the world come and a lot of them are not Americans, actually, a lot of them
150960	158280	are from many, many countries and it's a wonderful place because of that, you know.
158840	163080	So what happened is actually, I finished my PhD very young, I was 23 and so instead of
163080	167720	coming back to France immediately, I was offered a position at Bell Labs, I thought, well,
167720	169760	you know, I should have to try that.
169760	175120	And then I was offered a position at MIT and then I have to try that and then ended up
175120	177560	staying in the US but that was never the plan.
177560	182000	Actually, this is something that I had read in your biography and I wanted to clarify,
182000	183680	you got your PhD at 23?
183680	185360	Yes, that's right.
185360	186360	How did that happen?
186440	193320	It started very young, you know, basically when I was an only child, which I hated and
193320	198400	so my mother, you know, taught me to read and write and so I ended up skipping classes
198400	203560	which, you know, my parents and I actually were not particularly keen on, but, you know,
203560	210960	so I ended up doing everything quite young, you know, and also I did my PhD quite quickly.
210960	215560	That's quite interesting, I mean, we could arguably say that you were a child prodigy
215760	219080	and also working in places like Bell Labs must have been an incredible experience.
219080	221480	Oh yeah, Bell Labs was a fantastic place.
